spot	condition	image	cell	area_um2
1	minus_myc	1	1	0.021
2	minus_myc	1	1	0.300
3	minus_myc	1	1	0.901
4	minus_myc	1	1	0.279
5	minus_myc	1	1	0.450
6	minus_myc	1	1	0.021
7	minus_myc	1	1	0.193
8	minus_myc	1	1	1.051
9	minus_myc	1	1	0.965
10	minus_myc	1	1	0.021
11	minus_myc	1	1	0.622
12	minus_myc	1	1	0.236
13	minus_myc	1	1	0.064
14	minus_myc	1	1	0.493
15	minus_myc	1	1	0.450
16	minus_myc	1	1	0.214
17	minus_myc	1	1	0.943
18	minus_myc	1	1	0.086
19	minus_myc	1	1	0.043
20	minus_myc	1	1	0.407
21	minus_myc	1	1	0.043
22	minus_myc	1	1	0.300
23	minus_myc	1	2	0.086
24	minus_myc	1	2	0.300
25	minus_myc	1	2	0.450
26	minus_myc	1	2	0.365
27	minus_myc	1	2	0.429
28	minus_myc	1	2	0.064
29	minus_myc	1	2	0.107
30	minus_myc	1	2	0.322
31	minus_myc	1	2	0.214
32	minus_myc	1	2	0.300
33	minus_myc	1	2	0.214
34	minus_myc	1	2	0.193
35	minus_myc	1	2	0.429
36	minus_myc	1	2	0.472
37	minus_myc	1	2	0.557
38	minus_myc	1	2	0.493
39	minus_myc	1	2	0.043
40	minus_myc	1	2	0.515
41	minus_myc	1	2	0.386
42	minus_myc	1	2	0.214
43	minus_myc	1	2	0.064
44	minus_myc	1	2	0.343
45	minus_myc	1	2	0.257
46	minus_myc	1	2	0.193
47	minus_myc	1	2	1.008
48	minus_myc	1	2	0.086
49	minus_myc	1	2	0.021
50	minus_myc	1	2	0.086
51	minus_myc	1	3	1.136
52	minus_myc	1	3	0.407
53	minus_myc	1	3	1.329
54	minus_myc	1	3	0.386
55	minus_myc	1	3	0.450
56	minus_myc	1	3	0.172
57	minus_myc	1	3	0.150
58	minus_myc	1	4	0.107
59	minus_myc	1	4	0.064
60	minus_myc	1	4	0.257
61	minus_myc	1	4	0.086
62	minus_myc	1	4	0.021
63	minus_myc	1	4	0.214
64	minus_myc	1	4	0.472
65	minus_myc	1	4	1.565
66	minus_myc	1	4	0.150
67	minus_myc	1	4	1.051
68	minus_myc	1	4	0.536
69	minus_myc	1	4	0.021
70	minus_myc	1	4	0.129
71	minus_myc	1	4	1.522
72	minus_myc	1	4	0.429
73	minus_myc	1	4	0.450
74	minus_myc	1	4	0.086
75	minus_myc	1	5	0.236
76	minus_myc	1	6	0.043
77	minus_myc	1	6	0.300
78	minus_myc	1	6	0.600
79	minus_myc	1	6	0.107
80	minus_myc	1	6	0.021
81	minus_myc	1	6	0.322
82	minus_myc	1	6	0.043
83	minus_myc	1	6	0.129
84	minus_myc	1	6	0.086
