spot	condition	image	cell	area_um2
1	minus_myc	1	1	0.922
2	minus_myc	1	1	3.431
3	minus_myc	1	1	0.686
4	minus_myc	1	1	0.257
5	minus_myc	1	2	0.107
6	minus_myc	1	2	0.343
7	minus_myc	1	2	0.021
8	minus_myc	1	2	0.021
9	minus_myc	1	2	0.193
10	minus_myc	1	2	0.407
11	minus_myc	1	2	0.515
12	minus_myc	1	3	0.129
13	minus_myc	1	3	0.064
14	minus_myc	1	3	0.686
15	minus_myc	1	3	0.793
16	minus_myc	1	3	0.472
17	minus_myc	1	3	0.064
18	minus_myc	1	4	0.815
19	minus_myc	1	4	0.708
20	minus_myc	1	4	0.214
21	minus_myc	1	4	0.279
22	minus_myc	1	4	0.193
23	minus_myc	1	4	0.879
24	minus_myc	1	5	0.622
25	minus_myc	1	5	1.201
26	minus_myc	1	5	0.021
27	minus_myc	1	5	0.643
28	minus_myc	1	5	0.172
29	minus_myc	1	5	0.600
30	minus_myc	1	5	0.643
31	minus_myc	1	5	0.172
32	minus_myc	1	5	0.043
33	minus_myc	1	5	1.094
34	minus_myc	1	5	0.021
35	minus_myc	1	6	0.043
36	minus_myc	1	6	0.343
37	minus_myc	1	6	0.965
38	minus_myc	1	6	0.600
39	minus_myc	1	6	1.008
40	minus_myc	1	6	0.365
41	minus_myc	1	6	0.729
42	minus_myc	1	6	0.021
43	minus_myc	1	6	0.793
44	minus_myc	1	6	0.129
45	minus_myc	1	6	0.600
46	minus_myc	1	6	1.329
47	minus_myc	1	6	0.129
48	minus_myc	1	6	0.043
49	minus_myc	1	6	0.086
50	minus_myc	1	7	0.086
51	minus_myc	1	7	0.021
52	minus_myc	1	7	0.343
53	minus_myc	1	7	1.094
54	minus_myc	1	7	0.386
55	minus_myc	1	7	0.064
56	minus_myc	1	7	0.450
57	minus_myc	1	7	0.214
58	minus_myc	1	7	0.043
59	minus_myc	1	7	0.300
60	minus_myc	1	7	0.021
61	minus_myc	1	7	0.150
62	minus_myc	1	7	0.279
63	minus_myc	1	7	0.021
64	minus_myc	1	7	0.407
65	minus_myc	1	7	0.343
66	minus_myc	10	8	0.515
67	minus_myc	10	8	0.086
68	minus_myc	10	8	0.043
69	minus_myc	10	8	0.257
70	minus_myc	10	8	1.008
71	minus_myc	10	8	0.407
72	minus_myc	10	8	0.172
73	minus_myc	10	8	0.600
74	minus_myc	10	8	0.236
75	minus_myc	10	8	0.086
76	minus_myc	10	9	2.895
77	minus_myc	10	9	1.608
78	minus_myc	10	9	0.257
79	minus_myc	10	9	0.043
80	minus_myc	10	9	0.021
81	minus_myc	10	9	0.064
82	minus_myc	10	9	0.450
83	minus_myc	10	9	0.279
84	minus_myc	10	9	0.107
85	minus_myc	10	9	0.021
86	minus_myc	10	9	0.129
87	minus_myc	10	9	0.107
88	minus_myc	10	10	0.665
89	minus_myc	10	10	0.386
90	minus_myc	10	10	0.129
91	minus_myc	10	10	0.343
92	minus_myc	10	10	0.815
93	minus_myc	10	10	0.064
94	minus_myc	10	10	0.536
95	minus_myc	10	10	0.021
96	minus_myc	10	10	0.043
97	minus_myc	10	10	0.429
98	minus_myc	10	10	0.172
99	minus_myc	10	11	0.386
100	minus_myc	10	11	0.086
101	minus_myc	10	11	0.021
102	minus_myc	10	12	0.021
103	minus_myc	10	12	0.086
104	minus_myc	10	12	0.064
105	minus_myc	10	12	0.107
106	minus_myc	10	12	0.365
107	minus_myc	10	12	0.686
108	minus_myc	10	12	0.450
109	minus_myc	10	12	0.300
110	minus_myc	10	12	0.064
111	minus_myc	10	12	0.815
112	minus_myc	10	13	0.300
113	minus_myc	10	13	0.858
114	minus_myc	10	13	0.236
115	minus_myc	10	13	1.630
116	minus_myc	10	13	0.901
117	minus_myc	10	13	0.150
118	minus_myc	10	13	0.472
119	minus_myc	10	13	0.086
120	minus_myc	10	13	0.043
121	minus_myc	10	13	0.257
122	minus_myc	10	13	0.064
123	minus_myc	10	13	0.300
124	minus_myc	10	13	0.129
125	minus_myc	10	13	0.386
126	minus_myc	10	13	0.750
127	minus_myc	10	13	0.450
128	minus_myc	10	13	0.086
129	minus_myc	10	13	0.922
130	minus_myc	10	13	0.021
131	minus_myc	10	13	0.043
132	minus_myc	10	13	0.172
133	minus_myc	10	14	0.214
134	minus_myc	10	14	0.622
135	minus_myc	10	14	0.021
136	minus_myc	10	14	0.472
137	minus_myc	10	14	0.450
138	minus_myc	10	14	0.493
139	minus_myc	10	14	0.922
140	minus_myc	10	14	0.407
141	minus_myc	10	14	0.322
142	minus_myc	10	14	0.643
143	minus_myc	10	14	1.008
144	minus_myc	10	14	0.279
145	minus_myc	10	14	0.365
146	minus_myc	10	14	0.279
147	minus_myc	10	15	0.300
148	minus_myc	10	15	0.086
149	minus_myc	10	15	1.094
150	minus_myc	10	15	0.965
151	minus_myc	10	16	0.064
152	minus_myc	10	16	0.879
153	minus_myc	10	16	0.086
154	minus_myc	10	16	0.407
155	minus_myc	10	17	0.386
156	minus_myc	10	17	0.665
157	minus_myc	10	17	0.472
158	minus_myc	10	17	0.021
159	minus_myc	10	17	0.064
160	minus_myc	10	17	0.064
161	minus_myc	10	17	0.043
162	minus_myc	10	17	0.043
163	minus_myc	10	17	0.622
164	minus_myc	10	17	0.086
165	minus_myc	10	17	0.472
166	minus_myc	10	17	0.129
167	minus_myc	10	17	0.343
168	minus_myc	10	17	0.300
169	minus_myc	10	17	0.021
170	minus_myc	10	18	0.129
171	minus_myc	10	18	1.522
172	minus_myc	10	18	0.300
173	minus_myc	10	18	1.823
174	minus_myc	10	18	0.622
175	minus_myc	10	18	1.501
176	minus_myc	10	18	0.043
177	minus_myc	10	18	0.043
178	minus_myc	10	18	0.236
179	minus_myc	10	18	0.450
180	minus_myc	10	18	0.901
181	minus_myc	10	18	0.021
182	minus_myc	10	18	0.086
183	minus_myc	10	18	0.429
184	minus_myc	2	19	1.222
185	minus_myc	2	19	0.257
186	minus_myc	2	19	0.064
187	minus_myc	2	19	0.493
188	minus_myc	2	19	0.021
189	minus_myc	2	19	0.021
190	minus_myc	2	19	0.708
191	minus_myc	2	19	0.322
192	minus_myc	2	19	0.365
193	minus_myc	2	19	0.407
194	minus_myc	2	19	0.214
195	minus_myc	2	19	0.343
196	minus_myc	2	19	0.064
197	minus_myc	2	19	0.386
198	minus_myc	2	20	1.758
199	minus_myc	2	20	0.107
200	minus_myc	2	20	0.021
201	minus_myc	2	20	0.257
202	minus_myc	2	20	1.136
203	minus_myc	2	20	0.493
204	minus_myc	2	20	0.021
205	minus_myc	2	21	0.643
206	minus_myc	2	21	0.086
207	minus_myc	2	21	0.643
208	minus_myc	2	21	0.322
209	minus_myc	2	21	0.193
210	minus_myc	2	21	0.665
211	minus_myc	2	22	0.472
212	minus_myc	2	22	0.622
213	minus_myc	2	22	0.686
214	minus_myc	2	22	0.107
215	minus_myc	2	22	0.515
216	minus_myc	2	23	0.729
217	minus_myc	2	23	0.257
218	minus_myc	2	23	0.086
219	minus_myc	2	23	1.437
220	minus_myc	2	23	0.086
221	minus_myc	2	23	0.279
222	minus_myc	2	23	4.374
223	minus_myc	2	23	0.086
224	minus_myc	2	23	0.429
225	minus_myc	2	23	0.086
226	minus_myc	2	23	0.086
227	minus_myc	2	23	0.193
228	minus_myc	2	23	0.300
229	minus_myc	2	23	0.193
230	minus_myc	2	23	0.150
231	minus_myc	2	23	0.129
232	minus_myc	2	23	2.402
233	minus_myc	2	23	0.043
234	minus_myc	2	23	0.021
235	minus_myc	2	23	0.021
236	minus_myc	2	23	0.150
237	minus_myc	2	23	1.201
238	minus_myc	2	23	0.021
239	minus_myc	2	24	1.051
240	minus_myc	2	24	0.129
241	minus_myc	2	24	0.021
242	minus_myc	2	24	0.665
243	minus_myc	2	24	0.665
244	minus_myc	2	24	0.879
245	minus_myc	2	25	0.214
246	minus_myc	2	25	0.815
247	minus_myc	2	25	0.043
248	minus_myc	2	25	0.665
249	minus_myc	2	25	0.129
250	minus_myc	2	26	0.343
251	minus_myc	2	26	0.257
252	minus_myc	2	27	0.021
253	minus_myc	2	27	0.600
254	minus_myc	2	27	0.214
255	minus_myc	2	27	0.021
256	minus_myc	2	27	0.407
257	minus_myc	2	27	0.622
258	minus_myc	2	27	0.665
259	minus_myc	2	27	0.064
260	minus_myc	2	27	0.214
261	minus_myc	2	27	0.386
262	minus_myc	2	27	0.064
263	minus_myc	2	27	0.257
264	minus_myc	2	27	0.750
265	minus_myc	2	27	0.922
266	minus_myc	2	27	0.064
267	minus_myc	2	27	0.729
268	minus_myc	2	27	0.622
269	minus_myc	2	27	0.193
270	minus_myc	2	27	0.129
271	minus_myc	2	27	0.086
272	minus_myc	3	28	0.086
273	minus_myc	3	28	0.150
274	minus_myc	3	28	0.193
275	minus_myc	3	28	0.279
276	minus_myc	3	28	0.515
277	minus_myc	3	28	0.257
278	minus_myc	3	28	0.214
279	minus_myc	3	28	0.257
280	minus_myc	3	28	0.129
281	minus_myc	3	28	0.407
282	minus_myc	3	29	1.051
283	minus_myc	3	29	0.129
284	minus_myc	3	29	0.021
285	minus_myc	3	29	0.172
286	minus_myc	3	29	1.051
287	minus_myc	3	29	0.107
288	minus_myc	3	30	0.493
289	minus_myc	3	30	0.515
290	minus_myc	3	30	0.021
291	minus_myc	3	30	0.536
292	minus_myc	3	30	0.300
293	minus_myc	3	30	0.600
294	minus_myc	3	30	0.365
295	minus_myc	3	30	0.236
296	minus_myc	3	31	0.943
297	minus_myc	3	31	0.300
298	minus_myc	3	31	0.021
299	minus_myc	3	31	0.257
300	minus_myc	3	31	0.643
301	minus_myc	3	31	0.193
302	minus_myc	3	31	0.021
303	minus_myc	3	31	0.429
304	minus_myc	3	31	0.150
305	minus_myc	3	31	0.643
306	minus_myc	3	31	0.129
307	minus_myc	3	31	0.322
308	minus_myc	3	31	0.450
309	minus_myc	3	32	0.407
310	minus_myc	3	32	0.214
311	minus_myc	3	32	0.386
312	minus_myc	3	32	0.257
313	minus_myc	3	32	0.750
314	minus_myc	3	32	0.407
315	minus_myc	3	32	0.279
316	minus_myc	3	32	0.386
317	minus_myc	3	32	0.086
318	minus_myc	3	32	0.257
319	minus_myc	3	33	0.172
320	minus_myc	3	33	0.686
321	minus_myc	3	33	0.257
322	minus_myc	3	33	0.343
323	minus_myc	3	33	0.493
324	minus_myc	3	33	0.064
325	minus_myc	3	33	0.129
326	minus_myc	3	34	0.450
327	minus_myc	3	34	0.407
328	minus_myc	3	34	0.150
329	minus_myc	3	34	0.579
330	minus_myc	3	35	0.450
331	minus_myc	3	35	0.086
332	minus_myc	3	35	0.407
333	minus_myc	3	35	0.279
334	minus_myc	3	35	0.493
335	minus_myc	3	35	0.579
336	minus_myc	3	36	0.150
337	minus_myc	3	36	0.150
338	minus_myc	3	36	0.365
339	minus_myc	3	36	0.986
340	minus_myc	3	36	0.622
341	minus_myc	3	36	0.579
342	minus_myc	3	36	1.179
343	minus_myc	3	36	0.043
344	minus_myc	3	37	0.236
345	minus_myc	3	37	0.107
346	minus_myc	3	37	0.257
347	minus_myc	4	38	0.343
348	minus_myc	4	38	0.193
349	minus_myc	4	38	0.064
350	minus_myc	4	38	0.172
351	minus_myc	4	38	1.222
352	minus_myc	4	38	0.429
353	minus_myc	4	38	0.236
354	minus_myc	4	38	0.300
355	minus_myc	4	39	0.407
356	minus_myc	4	39	0.365
357	minus_myc	4	39	0.322
358	minus_myc	4	39	0.450
359	minus_myc	4	39	0.643
360	minus_myc	4	39	0.150
361	minus_myc	4	39	0.279
362	minus_myc	4	39	0.472
363	minus_myc	4	39	0.365
364	minus_myc	4	39	0.343
365	minus_myc	4	40	0.172
366	minus_myc	4	40	0.579
367	minus_myc	4	40	0.472
368	minus_myc	4	41	0.064
369	minus_myc	4	41	1.072
370	minus_myc	4	41	0.472
371	minus_myc	4	41	0.193
372	minus_myc	4	41	0.322
373	minus_myc	4	41	0.021
374	minus_myc	4	41	0.836
375	minus_myc	4	41	0.107
376	minus_myc	4	41	1.094
377	minus_myc	4	41	0.107
378	minus_myc	4	41	0.064
379	minus_myc	4	41	0.429
380	minus_myc	4	42	0.365
381	minus_myc	4	42	0.429
382	minus_myc	4	42	0.386
383	minus_myc	4	43	0.129
384	minus_myc	4	43	0.643
385	minus_myc	4	43	1.008
386	minus_myc	4	43	0.129
387	minus_myc	4	44	0.236
388	minus_myc	4	44	0.107
389	minus_myc	4	45	0.086
390	minus_myc	4	45	0.107
391	minus_myc	4	45	0.043
392	minus_myc	4	45	0.365
393	minus_myc	4	45	0.836
394	minus_myc	4	45	0.429
395	minus_myc	4	45	0.643
396	minus_myc	4	45	0.836
397	minus_myc	4	45	0.021
398	minus_myc	4	45	0.343
399	minus_myc	4	45	0.365
400	minus_myc	4	45	0.021
401	minus_myc	4	46	0.214
402	minus_myc	4	46	0.536
403	minus_myc	4	46	0.536
404	minus_myc	4	46	3.517
405	minus_myc	4	46	0.172
406	minus_myc	4	46	0.214
407	minus_myc	4	46	0.043
408	minus_myc	4	46	0.107
409	minus_myc	4	46	0.086
410	minus_myc	4	46	0.021
411	minus_myc	5	47	0.472
412	minus_myc	5	47	0.600
413	minus_myc	5	47	0.021
414	minus_myc	5	47	0.150
415	minus_myc	5	47	0.386
416	minus_myc	5	47	0.107
417	minus_myc	5	47	1.329
418	minus_myc	5	47	0.064
419	minus_myc	5	47	0.343
420	minus_myc	5	47	0.021
421	minus_myc	5	47	0.064
422	minus_myc	5	48	0.193
423	minus_myc	5	48	0.450
424	minus_myc	5	48	0.150
425	minus_myc	5	48	0.729
426	minus_myc	5	48	0.107
427	minus_myc	5	48	0.021
428	minus_myc	5	48	0.901
429	minus_myc	5	48	0.021
430	minus_myc	5	48	0.064
431	minus_myc	5	48	0.858
432	minus_myc	5	48	0.386
433	minus_myc	5	48	1.372
434	minus_myc	5	48	0.129
435	minus_myc	5	48	0.279
436	minus_myc	5	48	0.043
437	minus_myc	5	49	0.429
438	minus_myc	5	50	0.064
439	minus_myc	5	50	0.450
440	minus_myc	5	50	0.172
441	minus_myc	5	50	0.021
442	minus_myc	5	50	0.021
443	minus_myc	5	51	0.472
444	minus_myc	5	51	0.343
445	minus_myc	5	51	0.322
446	minus_myc	5	51	0.150
447	minus_myc	5	51	0.043
448	minus_myc	5	51	0.322
449	minus_myc	5	51	0.193
450	minus_myc	5	51	0.257
451	minus_myc	5	51	0.107
452	minus_myc	5	51	0.365
453	minus_myc	5	51	0.107
454	minus_myc	5	51	0.043
455	minus_myc	5	51	0.021
456	minus_myc	5	51	0.214
457	minus_myc	5	52	0.021
458	minus_myc	5	52	0.236
459	minus_myc	5	52	0.772
460	minus_myc	5	52	0.086
461	minus_myc	5	52	0.429
462	minus_myc	5	52	1.072
463	minus_myc	5	52	0.493
464	minus_myc	5	52	0.236
465	minus_myc	5	52	0.064
466	minus_myc	5	52	0.021
467	minus_myc	5	53	0.322
468	minus_myc	5	53	0.043
469	minus_myc	5	53	0.021
470	minus_myc	5	53	0.129
471	minus_myc	5	53	0.386
472	minus_myc	5	53	0.279
473	minus_myc	5	53	0.129
474	minus_myc	5	54	0.493
475	minus_myc	5	54	0.064
476	minus_myc	5	54	0.086
477	minus_myc	5	54	0.300
478	minus_myc	5	54	0.086
479	minus_myc	5	54	0.343
480	minus_myc	5	54	0.021
481	minus_myc	5	54	0.021
482	minus_myc	5	54	0.365
483	minus_myc	6	55	1.029
484	minus_myc	6	55	0.021
485	minus_myc	6	55	1.715
486	minus_myc	6	55	0.279
487	minus_myc	6	55	0.086
488	minus_myc	6	55	0.343
489	minus_myc	6	55	0.086
490	minus_myc	6	55	0.536
491	minus_myc	6	55	0.086
492	minus_myc	6	55	0.043
493	minus_myc	6	55	0.021
494	minus_myc	6	55	0.836
495	minus_myc	6	55	0.300
496	minus_myc	6	55	0.815
497	minus_myc	6	55	0.064
498	minus_myc	6	55	0.086
499	minus_myc	6	55	0.665
500	minus_myc	6	55	0.515
501	minus_myc	6	56	0.107
502	minus_myc	6	56	0.043
503	minus_myc	6	56	0.257
504	minus_myc	6	56	0.386
505	minus_myc	6	56	0.172
506	minus_myc	6	56	0.129
507	minus_myc	6	56	0.365
508	minus_myc	6	56	1.029
509	minus_myc	6	56	0.450
510	minus_myc	6	57	0.193
511	minus_myc	6	57	0.450
512	minus_myc	6	57	0.043
513	minus_myc	6	57	0.943
514	minus_myc	6	57	0.557
515	minus_myc	6	57	0.279
516	minus_myc	6	58	0.386
517	minus_myc	6	58	0.343
518	minus_myc	6	58	0.107
519	minus_myc	6	58	0.043
520	minus_myc	6	58	0.793
521	minus_myc	6	58	0.493
522	minus_myc	6	58	0.021
523	minus_myc	6	58	0.279
524	minus_myc	6	58	0.043
525	minus_myc	6	58	0.279
526	minus_myc	6	58	0.214
527	minus_myc	6	58	0.064
528	minus_myc	6	58	0.129
529	minus_myc	6	58	0.086
530	minus_myc	6	58	0.772
531	minus_myc	6	58	0.257
532	minus_myc	6	58	0.086
533	minus_myc	6	59	0.086
534	minus_myc	6	59	0.064
535	minus_myc	6	59	0.021
536	minus_myc	6	59	0.257
537	minus_myc	6	59	0.064
538	minus_myc	6	59	0.172
539	minus_myc	6	59	0.021
540	minus_myc	6	59	0.257
541	minus_myc	6	59	0.172
542	minus_myc	6	59	0.300
543	minus_myc	6	60	0.965
544	minus_myc	6	60	0.150
545	minus_myc	6	60	0.793
546	minus_myc	6	60	0.450
547	minus_myc	6	60	0.322
548	minus_myc	6	60	1.008
549	minus_myc	6	60	0.021
550	minus_myc	6	60	0.172
551	minus_myc	6	60	0.129
552	minus_myc	6	60	0.450
553	minus_myc	6	60	0.021
554	minus_myc	6	60	0.021
555	minus_myc	6	60	0.150
556	minus_myc	6	60	0.450
557	minus_myc	6	61	0.236
558	minus_myc	6	61	0.193
559	minus_myc	6	61	0.172
560	minus_myc	6	62	0.086
561	minus_myc	6	62	0.322
562	minus_myc	6	62	0.600
563	minus_myc	6	62	1.287
564	minus_myc	6	62	2.123
565	minus_myc	6	62	0.901
566	minus_myc	6	62	0.322
567	minus_myc	6	62	0.407
568	minus_myc	6	62	1.329
569	minus_myc	6	62	0.450
570	minus_myc	6	62	0.600
571	minus_myc	6	62	0.172
572	minus_myc	6	62	0.172
573	minus_myc	6	63	0.429
574	minus_myc	6	63	0.193
575	minus_myc	6	63	0.622
576	minus_myc	6	63	0.086
577	minus_myc	6	63	0.021
578	minus_myc	6	63	0.129
579	minus_myc	6	63	0.300
580	minus_myc	6	64	0.472
581	minus_myc	6	64	0.064
582	minus_myc	6	64	0.536
583	minus_myc	6	64	0.407
584	minus_myc	6	64	0.043
585	minus_myc	6	64	0.021
586	minus_myc	6	64	0.021
587	minus_myc	6	64	0.193
588	minus_myc	6	64	0.129
589	minus_myc	6	64	0.257
590	minus_myc	6	64	0.322
591	minus_myc	6	64	0.172
592	minus_myc	6	64	0.107
593	minus_myc	7	65	0.557
594	minus_myc	7	65	0.579
595	minus_myc	7	65	0.043
596	minus_myc	7	65	0.172
597	minus_myc	7	65	0.515
598	minus_myc	7	65	0.086
599	minus_myc	7	65	0.021
600	minus_myc	7	65	0.021
601	minus_myc	7	65	0.021
602	minus_myc	7	65	0.750
603	minus_myc	7	65	1.437
604	minus_myc	7	65	0.021
605	minus_myc	7	65	0.107
606	minus_myc	7	65	0.086
607	minus_myc	7	65	0.150
608	minus_myc	7	65	0.021
609	minus_myc	7	65	0.858
610	minus_myc	7	65	0.836
611	minus_myc	7	65	0.236
612	minus_myc	7	65	0.343
613	minus_myc	7	65	0.214
614	minus_myc	7	65	0.622
615	minus_myc	7	65	0.064
616	minus_myc	7	65	0.107
617	minus_myc	7	65	0.557
618	minus_myc	7	66	0.472
619	minus_myc	7	66	0.815
620	minus_myc	7	66	0.386
621	minus_myc	7	66	0.750
622	minus_myc	7	66	0.150
623	minus_myc	7	66	0.172
624	minus_myc	7	66	0.150
625	minus_myc	7	67	0.172
626	minus_myc	7	67	0.429
627	minus_myc	7	67	0.193
628	minus_myc	7	67	0.150
